COD_ACTIVIDAD_F883;DESC_ACTIVIDAD_F883;DESCL_ACTIVIDA_F883;
523031;Servicios de gestión de agentes de transporte aduanero excepto agencias marítimas;Servicios de gestión de agentes de transporte aduanero excepto agencias marítimas;
523032;Servicios de operadores logísticos seguros (OLS) en el ámbito aduanero;Servicios de operadores logísticos seguros (OLS) en el ámbito aduanero;
523039;Servicios de operadores logísticos n.c.p.;Servicios de operadores logísticos n.c.p.;
523090;Servicios de gestión y logística para el transporte de mercaderías n.c.p.;Servicios de gestión y logística para el transporte de mercaderías n.c.p. (Incluye las actividades de empresas empaquetadoras para comercio exterior, alquiler de contenedores, etc.);
524110;Servicios de explotación de infraestructura para el transporte terrestre, peajes y otros derechos;Servicios de explotación de infraestructura para el transporte terrestre, peajes y otros derechos;
524120;Servicios  de playas de estacionamiento y garajes;Servicios  de playas de estacionamiento y garajes;
524130;Servicios de estaciones terminales de ómnibus y ferroviárias;Servicios de estaciones terminales de ómnibus y ferroviárias;
524190;Servicios complementarios para el transporte terrestre n.c.p.;Servicios complementarios para el transporte terrestre n.c.p. (Incluye servicios de mantenimiento de material ferroviario);
524210;Servicios de explotación de infraestructura para el transporte marítimo, derechos de puerto;Servicios de explotación de infraestructura para el transporte marítimo, derechos de puerto;
524220;Servicios de guarderías náuticas;Servicios de guarderías náuticas;
524230;Servicios para la navegación;Servicios para la navegación (Incluye servicios de practicaje y pilotaje, atraque y salvamento);
524290;Servicios complementarios para el transporte marítimo n.c.p.;Servicios complementarios para el transporte marítimo n.c.p. (Incluye explotación de servicios de terminales como puertos y muelles);
524310;Servicios de explotación de infraestructura para el transporte aéreo, derechos de aeropuerto;Servicios de explotación de infraestructura para el transporte aéreo, derechos de aeropuerto;
524320;Servicios de hangares y estacionamiento de aeronaves;Servicios de hangares y estacionamiento de aeronaves;
524330;Servicios para la aeronavegación;Servicios para la aeronavegación (Incluye remolque de aeronaves y actividades de control de tráfico aéreo, etc.);
524390;Servicios complementarios para el transporte aéreo n.c.p.;Servicios complementarios para el transporte aéreo n.c.p. (Incluye servicios de prevención y extinción de incendios);
530010;Servicio de correo postal;Servicio de correo postal (Incluye las actividades de correo postal sujetas a la obligación de servicio universal);
530090;Servicios de mensajerías.;Servicios de mensajerías (Incluye servicios puerta a puerta de correo y mensajería, comisionistas de encomiendas, transporte de documentos  realizados por empresas no sujetas a la obligación de servicio universal);
551010;Servicios de alojamiento por hora;Servicios de alojamiento por hora ;
551021;Servicios de alojamiento en pensiones;Servicios de alojamiento en pensiones;
551022;Servicios de alojamiento en hoteles, hosterías y residenciales similares, excepto por hora, que incluyen servicio de restaurante al público;Servicios de alojamiento en hoteles, hosterías y residenciales similares, excepto por hora, que incluyen servicio de restaurante al público;
551023;Servicios de alojamiento en hoteles, hosterías y residenciales similares, excepto por hora, que no incluyen servicio de restaurante al público;Servicios de alojamiento en hoteles, hosterías y residenciales similares, excepto por hora, que no incluyen servicio de restaurante al público;
551090;Servicios de hospedaje temporal n.c.p.;Servicios de hospedaje temporal n.c.p. (Incluye hospedaje en estancias, residencias para estudiantes y albergues juveniles, apartamentos turísticos, etc.);
552000;Servicios de alojamiento en campings;Servicios de alojamiento en campings (Incluye refugios de montaña);
561011;Servicios de restaurantes y cantinas sin espectáculo;Servicios de restaurantes y cantinas sin espectáculo ;
561012;Servicios de restaurantes y cantinas con espectáculo;Servicios de restaurantes y cantinas con espectáculo ;
561013;Servicios de "fast food" y locales de venta de comidas y bebidas al paso;Servicios de "fast food" y locales de venta de comidas y bebidas al paso (Incluye el expendio de hamburguesas, productos lácteos excepto helados, etc.) ;
561014;Servicios de expendio de bebidas en bares;Servicios de expendio de bebidas en bares (Incluye: bares, cervecerías, pubs, cafeterías);
561019;Servicios de expendio de comidas y bebidas en establecimientos con servicio de mesa y/o en mostrador n.c.p.;Servicios de expendio de comidas y bebidas en establecimientos con servicio de mesa y/o en mostrador n.c.p.;
561020;Servicios de preparación de comidas para llevar;Servicios de preparación de comidas para llevar (Incluye rotiserías, casas de empanadas, pizzerías sin consumo en el local) ;
561030;Servicio de expendio de helados;Servicio de expendio de helados;
561040;Servicios de preparación de comidas realizadas por/para vendedores ambulantes.;Servicios de preparación de comidas realizadas por/para vendedores ambulantes.;
562010;Servicios de preparación de comidas para empresas y eventos;Servicios de preparación de comidas para empresas y eventos (Incluye el servicio de catering, el suministro de comidas para banquetes, bodas, fiestas y otras celebraciones, comidas para hospital, etc.) ;
562091;Servicios de cantinas con atención exclusiva  a los empleados o estudiantes dentro de empresas o establecimientos educativos.;Servicios de cantinas con atención exclusiva  a los empleados o estudiantes dentro de empresas o establecimientos educativos (Incluye cantinas deportivas);
562099;Servicios de comidas n.c.p.;Servicios de comidas n.c.p.;
581100;Edición de libros, folletos, y otras publicaciones;Edición de libros, folletos, y otras publicaciones;
581200;Edición de directorios y listas de correos;Edición de directorios y listas de correos;
581300;Edición de periódicos, revistas y publicaciones periódicas;Edición de periódicos, revistas y publicaciones periódicas;
581900;Edición n.c.p.;Edición n.c.p.;
591110;Producción de filmes y videocintas;Producción de filmes y videocintas;
591120;Postproducción de filmes y videocintas;Postproducción de filmes y videocintas;
591200;Distribución de filmes y videocintas;Distribución de filmes y videocintas;
591300;Exhibición de filmes y videocintas;Exhibición de filmes y videocintas;
592000;Servicios de grabación de sonido y edición de música;Servicios de grabación de sonido y edición de música;
601000;Emisión y retransmisión de radio;Emisión y retransmisión de radio;
602100;Emisión y retransmisión  de televisión abierta;Emisión y retransmisión  de televisión abierta;
602200;Operadores de televisión por suscripción.;Operadores de televisión por suscripción.;
602310;Emisión de señales de televisión por suscripción;Emisión de señales de televisión por suscripción;
602320;Producción de programas de televisión;Producción de programas de televisión;
602900;Servicios de televisión n.c.p;Servicios de televisión n.c.p;
611010;Servicios de locutorios;Servicios de locutorios;
611090;Servicios de telefonía fija, excepto locutorios;Servicios de telefonía fija, excepto locutorios;
612000;Servicios de telefonía móvil;Servicios de telefonía móvil;
613000;Servicios de telecomunicaciones vía satélite, excepto servicios de transmisión de televisión;Servicios de telecomunicaciones vía satélite, excepto servicios de transmisión de televisión;
614010;Servicios de proveedores de acceso a internet;Servicios de proveedores de acceso a internet;
614090;Servicios de telecomunicación vía internet n.c.p.;Servicios de telecomunicación vía internet n.c.p.;
619000;Servicios de telecomunicaciones n.c.p.;Servicios de telecomunicaciones n.c.p. (Incluye el servicio de pagers);
620100;Servicios de consultores en informática y suministros de programas de informática;Servicios de consultores en informática y suministros de programas de informática;
620200;Servicios de consultores en equipo de informática;Servicios de consultores en equipo de informática ;
620300;Servicios de consultores en tecnología de la información;Servicios de consultores en tecnología de la información;
620900;Servicios de informática n.c.p.;Servicios de informática n.c.p.;
631110;Procesamiento de datos;Procesamiento de datos;
631120;Hospedaje de datos;Hospedaje de datos;
631190;Actividades conexas al procesamiento y hospedaje de datos n.c.p.;Actividades conexas al procesamiento y hospedaje de datos n.c.p.;
631200;Portales web;Portales web;
639100;Agencias de noticias;Agencias de noticias;
639900;Servicios de información n.c.p.;Servicios de información n.c.p.;
641100;Servicios de la banca central;Servicios de la banca central (Incluye las actividades del Banco Central de la República Argentina);
641910;Servicios de la banca mayorista;Servicios de la banca mayorista;
641920;Servicios de la banca de inversión;Servicios de la banca de inversión;
641930;Servicios de la banca minorista;Servicios de la banca minorista;
641941;Servicios de intermediación financiera realizada por las compañías financieras;Servicios de intermediación financiera realizada por las compañías financieras;
641942;Servicios de intermediación financiera realizada por sociedades de ahorro y préstamo para la vivienda y otros inmuebles;Servicios de intermediación financiera realizada por sociedades de ahorro y préstamo para la vivienda y otros inmuebles;
641943;Servicios de intermediación financiera realizada por cajas de crédito;Servicios de intermediación financiera realizada por cajas de crédito;
642000;Servicios de sociedades de cartera;Servicios de sociedades de cartera;
643001;Servicios de fideicomisos;Servicios de fideicomisos;
643009;Fondos y sociedades de inversión y entidades financieras similares n.c.p.;Fondos y sociedades de inversión y entidades financieras similares n.c.p.;
649100;Arrendamiento financiero, leasing;Arrendamiento financiero, leasing;
649210;Actividades de crédito para financiar otras actividades económicas;Actividades de crédito para financiar otras actividades económicas ;
649220;Servicios de entidades de tarjeta de compra y/o crédito;Servicios de entidades de tarjeta de compra y/o crédito;
649290;Servicios de crédito n.c.p.;Servicios de crédito n.c.p. (Incluye el otorgamiento de préstamos por entidades que no reciben depósitos y que están fuera del sistema bancario y cuyo destino es financiar el consumo, la vivienda u otros bienes);
649910;Servicios de agentes de mercado abierto "puros";Servicios de agentes de mercado abierto "puros" (Incluye las transacciones extrabursátiles - por cuenta propia -);
649991;Servicios de socios inversores en sociedades regulares según Ley 19.550 - S.R.L., S.C.A, etc, excepto socios inversores en sociedades anónimas incluidos en 649999 -;Servicios de socios inversores en sociedades regulares según Ley 19.550 - S.R.L., S.C.A, etc, excepto socios inversores en sociedades anónimas incluidos en 649999 (No incluye los servicios de socios miembros  que desarrollan actividades de asesoramiento, dirección y gestión empresarial de sociedades regulares según Ley 19.550: 702091 y 702092) ;
649999;Servicios de financiación y actividades financieras n.c.p.;Servicios de financiación y actividades financieras n.c.p. (Incluye actividades de inversión en acciones, títulos, la actividad de corredores de bolsa, securitización, mutuales financieras, etc.), (No incluye actividades financieras relacionadas con el otorgamiento de créditos);
651110;Servicios de seguros de salud;Servicios de seguros de salud (Incluye medicina prepaga y mutuales de salud);
651120;Servicios de seguros de vida;Servicios de seguros de vida (Incluye los seguros de vida, retiro y sepelio);
651130;Servicios de seguros personales excepto  los de salud y de vida;Servicios de seguros personales excepto  los de salud y de vida (Incluye los seguros para viajes);
651210;Servicios de aseguradoras de riesgo de trabajo (ART);Servicios de aseguradoras de riesgo de trabajo (ART);
651220;Servicios de seguros patrimoniales excepto los de las aseguradoras de riesgo de trabajo (ART);Servicios de seguros patrimoniales excepto los de las aseguradoras de riesgo de trabajo (ART);
651310;Obras Sociales;Obras Sociales;
651320;Servicios de cajas de previsión social pertenecientes a asociaciones profesionales;Servicios de cajas de previsión social pertenecientes a asociaciones profesionales ;
652000;Reaseguros;Reaseguros;
653000;Administración de fondos de pensiones, excepto la seguridad social obligatoria;Administración de fondos de pensiones, excepto la seguridad social obligatoria;
661111;Servicios de mercados y cajas de valores;Servicios de mercados y cajas de valores;
661121;Servicios de mercados a término;Servicios de mercados a término;
661131;Servicios de bolsas de comercio;Servicios de bolsas de comercio;
661910;Servicios bursátiles de mediación o por cuenta de terceros;Servicios bursátiles de mediación o por cuenta de terceros (Incluye la actividad de agentes y sociedades de bolsa);
661920;Servicios de casas y agencias de cambio;Servicios de casas y agencias de cambio;
661930;Servicios de sociedades calificadoras de riesgos financieros;Servicios de sociedades calificadoras de riesgos financieros;
661991;Servicios de envio y recepción de fondos desde y hacia el exterior;Servicios de envio y recepción de fondos desde y hacia el exterior;
661992;Servicios de administradoras de vales y tickets;Servicios de administradoras de vales y tickets ;
661999;Servicios auxiliares a la intermediación financiera n.c.p.;Servicios auxiliares a la intermediación financiera n.c.p. (Incluye asesoría financiera);
662010;Servicios de evaluación de riesgos y daños;Servicios de evaluación de riesgos y daños;
662020;Servicios de productores  y asesores de seguros;Servicios de productores  y asesores de seguros ;
662090;Servicios auxiliares a los servicios de seguros n.c.p.;Servicios auxiliares a los servicios de seguros n.c.p.;
663000;Servicios de gestión de fondos a cambio de una retribución o por contrata;Servicios de gestión de fondos a cambio de una retribución o por contrata;
681010;Servicios de alquiler y explotación de inmuebles para fiestas, convenciones y otros eventos similares;Servicios de alquiler y explotación de inmuebles para fiestas, convenciones y otros eventos similares ;
681020;Servicios de alquiler  de consultorios médicos;Servicios de alquiler  de consultorios médicos;
681098;Servicios inmobiliarios realizados por cuenta propia, con bienes urbanos propios o arrendados n.c.p.;Servicios inmobiliarios realizados por cuenta propia, con bienes urbanos propios o arrendados n.c.p.;
681099;Servicios inmobiliarios realizados por cuenta propia, con bienes rurales propios o arrendados n.c.p.;Servicios inmobiliarios realizados por cuenta propia, con bienes rurales propios o arrendados n.c.p.;
682010;Servicios de administración de consorcios de edificios;Servicios de administración de consorcios de edificios;
682091;Servicios prestados por inmobiliarias;Servicios prestados por inmobiliarias;
682099;Servicios inmobiliarios realizados a cambio de una retribución o por contrata n.c.p.;Servicios inmobiliarios realizados a cambio de una retribución o por contrata n.c.p. (Incluye compra, venta, alquiler, remate, tasación, administración de bienes, etc., realizados a cambio de una retribución o por contrata, y la actividad de administradores, martilleros, rematadores, comisionistas, etc.);
691001;Servicios jurídicos;Servicios jurídicos ;
691002;Servicios  notariales;Servicios  notariales ;
692000;Servicios de contabilidad, auditoría y asesoría fiscal;Servicios de contabilidad, auditoría y asesoría fiscal;
702010;Servicios de gerenciamiento de empresas e instituciones de salud, servicios de auditoria y medicina legal, servicio de asesoramiento farmacéutico;Servicios de gerenciamiento de empresas e instituciones de salud, servicios de auditoria y medicina legal, servicio de asesoramiento farmacéutico ;
702091;Servicios de asesoramiento, dirección y gestión empresarial realizados por integrantes de los órganos de administración y/o fiscalización en sociedades anónimas;Servicios de asesoramiento, dirección y gestión empresarial realizados por integrantes de los órganos de administración y/o fiscalización en sociedades anónimas;
702092;Servicios de asesoramiento, dirección y gestión empresarial realizados por integrantes de cuerpos de dirección en sociedades excepto las anónimas;Servicios de asesoramiento, dirección y gestión empresarial realizados por integrantes de cuerpos de dirección en sociedades excepto las anónimas;
702099;Servicios de asesoramiento, dirección y gestión empresarial n.c.p.;Servicios de asesoramiento, dirección y gestión empresarial n.c.p.;
711001;Servicios relacionados con la construcción.;Servicios relacionados con la construcción (Incluye los servicios prestados por ingenieros, arquitectos y técnicos);
711002;Servicios geológicos y de prospección;Servicios geológicos y de prospección ;
711003;Servicios relacionados con la electrónica y las comunicaciones;Servicios relacionados con la electrónica y las comunicaciones;
711009;Servicios de arquitectura e ingeniería y servicios conexos de asesoramiento técnico n.c.p.;Servicios de arquitectura e ingeniería y servicios conexos de asesoramiento técnico n.c.p.;
712000;Ensayos y análisis técnicos;Ensayos y análisis técnicos (Incluye inspección técnica de vehículos, laboratorios de control de calidad, servicios de peritos calígrafos, servicios de bromatología);
721010;Investigación  y desarrollo experimental en el campo de la ingeniería y la tecnología;Investigación  y desarrollo experimental en el campo de la ingeniería y la tecnología;
721020;Investigación  y desarrollo experimental en el campo de las ciencias médicas;Investigación  y desarrollo experimental en el campo de las ciencias médicas;
721030;Investigación  y desarrollo experimental en el campo de las ciencias agropecuarias;Investigación  y desarrollo experimental en el campo de las ciencias agropecuarias;
721090;Investigación y desarrollo experimental en el campo de las ciencias exactas y naturales n.c.p.;Investigación y desarrollo experimental en el campo de las ciencias exactas y naturales n.c.p.;
722010;Investigación  y desarrollo experimental en el campo de las ciencias sociales;Investigación  y desarrollo experimental en el campo de las ciencias sociales;
722020;Investigación  y desarrollo experimental en el campo de las ciencias humanas;Investigación  y desarrollo experimental en el campo de las ciencias humanas;
731001;Servicios de comercialización de tiempo y espacio publicitario;Servicios de comercialización de tiempo y espacio publicitario;
731009;Servicios de publicidad n.c.p.;Servicios de publicidad n.c.p.;
732000;Estudio de mercado, realización de encuestas de opinión pública;Estudio de mercado, realización de encuestas de opinión pública;
741000;Servicios de diseño especializado;Servicios de diseño especializado (Incluye diseño de indumentaria, diseño gráfico, actividades de decoradores, etc.);
742000;Servicios de fotografía;Servicios de fotografía ;
749001;Servicios de traducción e interpretación;Servicios de traducción e interpretación;
749002;Servicios de representación e intermediación de artistas y modelos;Servicios de representación e intermediación de artistas y modelos;
749003;Servicios de representación e intermediación de deportistas profesionales;Servicios de representación e intermediación de deportistas profesionales;
749009;Actividades profesionales, científicas y técnicas n.c.p.;Actividades profesionales, científicas y técnicas n.c.p.;
750000;Servicios veterinarios;Servicios veterinarios;
771110;Alquiler de automóviles sin conductor;Alquiler de automóviles sin conductor;
771190;Alquiler de vehículos automotores n.c.p., sin conductor ni operarios;Alquiler de vehículos automotores n.c.p., sin conductor ni operarios (Incluye: camiones, remolques, etc.);
771210;Alquiler de equipo de transporte para vía acuática, sin operarios ni tripulación;Alquiler de equipo de transporte para vía acuática, sin operarios ni tripulación;
771220;Alquiler de equipo de transporte para vía aérea, sin operarios ni tripulación;Alquiler de equipo de transporte para vía aérea, sin operarios ni tripulación;
771290;Alquiler de equipo de transporte n.c.p. sin conductor ni operarios;Alquiler de equipo de transporte n.c.p. sin conductor ni operarios (Incluye: equipo ferroviario, motocicletas);
772010;Alquiler de videos y video juegos;Alquiler de videos y video juegos (Incluye la actividad de los videoclubes);
772091;Alquiler de prendas de vestir;Alquiler de prendas de vestir;
772099;Alquiler de efectos personales y enseres domésticos n.c.p.;Alquiler de efectos personales y enseres domésticos n.c.p. (Incluye alquiler de artículos deportivos);
773010;Alquiler de maquinaria y equipo agropecuario y forestal, sin operarios;Alquiler de maquinaria y equipo agropecuario y forestal, sin operarios;
773020;Alquiler de maquinaria y equipo para la minería, sin operarios;Alquiler de maquinaria y equipo para la minería, sin operarios;
773030;Alquiler de maquinaria y equipo de construcción e ingeniería civil, sin operarios;Alquiler de maquinaria y equipo de construcción e ingeniería civil, sin operarios (Incluye el alquiler de andamios sin montaje ni desmantelamiento);
773040;Alquiler de maquinaria y equipo de oficina, incluso computadoras;Alquiler de maquinaria y equipo de oficina, incluso computadoras;
773090;Alquiler de maquinaria y equipo n.c.p., sin personal;	Alquiler de maquinaria y equipo n.c.p., sin personal;
774000;Arrendamiento y gestión de bienes intangibles no financieros;Arrendamiento y gestión de bienes intangibles no financieros;
780000;Obtención y dotación de personal;Obtención y dotación de personal (Incluye las actividades vinculadas con la búsqueda, selección y colocación de personal, la actividad de casting de actores, etc.);
791100;Servicios minoristas de agencias de viajes;Servicios minoristas de agencias de viajes;
791200;Servicios mayoristas de agencias de viajes;Servicios mayoristas de agencias de viajes;
791901;Servicios de turismo aventura;Servicios de turismo aventura;
791909;Servicios complementarios de apoyo turístico n.c.p.;Servicios complementarios de apoyo turístico n.c.p.;
801010;Servicios de transporte de caudales y objetos de valor;Servicios de transporte de caudales y objetos de valor;
801020;Servicios de sistemas de seguridad;Servicios de sistemas de seguridad ;
801090;Servicios de seguridad e investigación n.c.p.;Servicios de seguridad e investigación n.c.p.;
811000;Servicio combinado de apoyo a edificios;Servicio combinado de apoyo a edificios;
812010;Servicios de limpieza general de edificios;Servicios de limpieza general de edificios ;
812020;Servicios de desinfección y exterminio de plagas en el ámbito urbano;Servicios de desinfección y exterminio de plagas en el ámbito urbano;
812090;Servicios de limpieza n.c.p.;Servicios de limpieza n.c.p.;
813000;Servicios de jardinería y mantenimiento de espacios verdes;Servicios de jardinería y mantenimiento de espacios verdes;
821100;Servicios combinados de gestión administrativa de oficinas;Servicios combinados de gestión administrativa de oficinas;
821900;Servicios de fotocopiado, preparación de documentos y otros servicios de apoyo de oficina;Servicios de fotocopiado, preparación de documentos y otros servicios de apoyo de oficina;
822000;Servicios de call center;Servicios de call center;
823000;Servicios de organización de convenciones y exposiciones comerciales, excepto culturales y deportivos;Servicios de organización de convenciones y exposiciones comerciales, excepto culturales y deportivos;
829100;Servicios de agencias de cobro y calificación crediticia;Servicios de agencias de cobro y calificación crediticia;
829200;Servicios de envase y empaque;Servicios de envase y empaque ;
829900;Servicios empresariales n.c.p.;Servicios empresariales n.c.p.;
841100;Servicios generales de la Administración Pública;Servicios generales de la Administración Pública (Incluye el desempeño de funciones ejecutivas y legislativas de administración por parte de las entidades de la administración central, regional y local, la administración y supervisión de asuntos fiscales, la aplicación del presupuesto y la gestión de los fondos públicos y la deuda pública, la gestión administrativa de servicios estadísticos y sociológicos y de planificación social y económica a distintos niveles de la administración);
841200;Servicios para la regulación de las actividades sanitarias, educativas, culturales, y restantes servicios sociales, excepto seguridad social obligatoria;Servicios para la regulación de las actividades sanitarias, educativas, culturales, y restantes servicios sociales, excepto seguridad social obligatoria (Incluye  la gestión administrativa de programas destinados a mejorar el bienestar de los ciudadanos) ;
841300;Servicios para la regulación de la actividad económica;Servicios para la regulación de la actividad económica (Incluye la administración pública y la regulación de varios sectores económicos, la gestión administrativa de actividades de carácter laboral, la aplicación de políticas de desarrollo regional);
841900;Servicios auxiliares para los servicios generales de la Administración Pública;Servicios auxiliares para los servicios generales de la Administración Pública (Incluye las actividades de servicios generales y de personal, la administración, dirección y apoyo de servicios generales, compras y suministros, etc. );
842100;Servicios de asuntos exteriores;Servicios de asuntos exteriores;
842200;Servicios de defensa;Servicios de defensa;
842300;Servicios para el orden público y la seguridad;Servicios para el orden público y la seguridad;
842400;Servicios de justicia;Servicios de justicia;
842500;Servicios de protección civil;Servicios de protección civil;
843000;Servicios de la seguridad social obligatoria, excepto obras sociales;Servicios de la seguridad social obligatoria, excepto obras sociales (Incluye PAMI y ANSES);
851010;Guarderías y jardines maternales;Guarderías y jardines maternales;
851020;Enseñanza inicial, jardín de infantes y primaria;Enseñanza inicial, jardín de infantes y primaria;
852100;Enseñanza secundaria de formación general;Enseñanza secundaria de formación general;
852200;Enseñanza secundaria de formación técnica y profesional;Enseñanza secundaria de formación técnica y profesional;
853100;Enseñanza  terciaria;Enseñanza  terciaria;
853201;Enseñanza universitaria excepto formación de posgrado;Enseñanza universitaria excepto formación de posgrado;
853300;Formación de posgrado;Formación de posgrado;
854910;Enseñanza de idiomas;Enseñanza de idiomas;
854920;Enseñanza de cursos relacionados con informática;Enseñanza de cursos relacionados con informática;
854930;Enseñanza para adultos, excepto discapacitados;Enseñanza para adultos, excepto discapacitados;
854940;Enseñanza especial y para discapacitados;Enseñanza especial y para discapacitados;
854950;Enseñanza de gimnasia, deportes y actividades físicas;Enseñanza de gimnasia, deportes y actividades físicas;
854960;Enseñanza artística;Enseñanza artística;
854990;Servicios de enseñanza n.c.p.;Servicios de enseñanza n.c.p. (Incluye instrucción impartida mediante programas de radio, televisión, correspondencia y otros medios de comunicación, escuelas de manejo, actividades de enseñanza a domicilio y/o particulares, etc.);
855000;Servicios de apoyo a la educación;Servicios de apoyo a la educación;
861010;Servicios de internación excepto instituciones relacionadas con la salud mental;Servicios de internación excepto instituciones relacionadas con la salud mental;
861020;Servicios de internación en instituciones relacionadas con la salud mental;Servicios de internación en instituciones relacionadas con la salud mental;
862110;Servicios de  consulta médica;Servicios de  consulta médica (Incluye las actividades de establecimientos sin internación o cuyos servicios se desarrollen en unidades independientes a las de internación: consultorios médicos, servicios de medicina laboral);
862120;Servicios de proveedores de atención médica domiciliaria;Servicios de proveedores de atención médica domiciliaria (Incluye las actividades llevadas a cabo en domicilios de pacientes con alta precoz, y que ofrecen atención por módulo) ;
862130;Servicios de atención médica en dispensarios, salitas, vacunatorios y otros locales de atención primaria de la salud;Servicios de atención médica en dispensarios, salitas, vacunatorios y otros locales de atención primaria de la salud;
862200;Servicios odontológicos;Servicios odontológicos;
863110;Servicios de prácticas de diagnóstico en laboratorios;Servicios de prácticas de diagnóstico en laboratorios (Incluye análisis clínicos, bioquímica, anatomía patológica, laboratorio hematológico, etc.);
863120;Servicios de prácticas de diagnóstico por imágenes;Servicios de prácticas de diagnóstico por imágenes (Incluye radiología, ecografía, resonancia magnética, etc.);
863190;Servicios de prácticas de diagnóstico n.c.p.;Servicios de prácticas de diagnóstico n.c.p.;
863200;Servicios de tratamiento;Servicios de tratamiento (Incluye hemodiálisis, cobaltoterapia, etc) ;
863300;Servicio médico integrado de consulta, diagnóstico y tratamiento;Servicio médico integrado de consulta, diagnóstico y tratamiento;
864000;Servicios de emergencias y traslados;Servicios de emergencias y traslados;
869010;Servicios de rehabilitación física;Servicios de rehabilitación física (Incluye actividades de profesionales excepto médicos: kinesiólogos, fisiatras, etc.);
869090;Servicios relacionados con la salud humana n.c.p.;Servicios relacionados con la salud humana n.c.p. (Incluye servicios de psicólogos, fonoaudiólogos, servicios de enfermería, terapia ocupacional, bancos de sangre, de semen,etc.);
870100;Servicios de atención a personas con problemas de salud mental o de adicciones, con alojamiento;Servicios de atención a personas con problemas de salud mental o de adicciones, con alojamiento;
870210;Servicios de atención a ancianos con alojamiento;Servicios de atención a ancianos con alojamiento;
870220;Servicios de atención a personas minusválidas con alojamiento;Servicios de atención a personas minusválidas con alojamiento;
870910;Servicios de atención a niños y adolescentes carenciados con alojamiento;Servicios de atención a niños y adolescentes carenciados con alojamiento;
870920;Servicios de atención a mujeres con alojamiento;Servicios de atención a mujeres con alojamiento;
870990;Servicios sociales con alojamiento n.c.p.;Servicios sociales con alojamiento n.c.p.;
880000;Servicios sociales sin alojamiento;Servicios sociales sin alojamiento ;
900011;Producción de espectáculos teatrales y musicales;Producción de espectáculos teatrales y musicales;
900021;Composición y representación de obras teatrales, musicales y artísticas;Composición y representación de obras teatrales, musicales y artísticas (Incluye a compositores, actores, músicos, conferencistas, pintores, artistas plásticos etc.) ;
900030;Servicios conexos a la producción de espectáculos teatrales y musicales;Servicios conexos a la producción de espectáculos teatrales y musicales  (Incluye diseño y manejo de escenografía, montaje de iluminación y sonido, etc.);
900040;Servicios de agencias de ventas de entradas;Servicios de agencias de ventas de entradas;
900091;Servicios de espectáculos artísticos n.c.p.;Servicios de espectáculos artísticos n.c.p. (Incluye espectáculos circenses, de títeres, mimos, etc.);
910100;Servicios de bibliotecas y archivos;Servicios de bibliotecas y archivos;
910200;Servicios de museos y preservación de lugares y edificios históricos;Servicios de museos y preservación de lugares y edificios históricos;
910300;Servicios de jardines botánicos, zoológicos y de parques nacionales;Servicios de jardines botánicos, zoológicos y de parques nacionales;
910900;Servicios culturales n.c.p.;Servicios culturales n.c.p. (Incluye actividades sociales, culturales, recreativas y de interés local desarrollado por centros vecinales, barriales, sociedades de fomento, clubes no deportivos, etc.);
920001;Servicios de recepción de apuestas de quiniela, lotería y similares;Servicios de recepción de apuestas de quiniela, lotería y similares  ;
920009;Servicios relacionados con juegos de azar y apuestas n.c.p.;Servicios relacionados con juegos de azar y apuestas n.c.p.  ;
931010;Servicios de organización, dirección y gestión de prácticas deportivas en clubes;Servicios de organización, dirección y gestión de prácticas deportivas en clubes (Incluye clubes de fútbol, golf, tiro, boxeo, etc.);
931020;Explotación de instalaciones deportivas, excepto clubes;Explotación de instalaciones deportivas, excepto clubes;
931030;Promoción y producción de espectáculos deportivos;Promoción y producción de espectáculos deportivos;
931041;Servicios prestados por deportistas y atletas para la realización de prácticas deportivas;Servicios prestados por deportistas y atletas para la realización de prácticas deportivas;
931042;Servicios prestados por profesionales y técnicos para la realización de prácticas deportivas;Servicios prestados por profesionales y técnicos para la realización de prácticas deportivas (Incluye la actividad realizada por entrenadores, instructores, jueces árbitros, cronometradores, etc.);
931050;Servicios de acondicionamiento físico;Servicios de acondicionamiento físico (Incluye gimnasios de musculación, pilates, yoga, personal trainner, etc.);
931090;Servicios para la práctica deportiva n.c.p.;Servicios para la práctica deportiva n.c.p.;
939010;Servicios de parques de diversiones y parques temáticos;Servicios de parques de diversiones y parques temáticos;
939020;Servicios de salones de juegos;Servicios de salones de juegos (Incluye salones de billar, pool, bowling, juegos electrónicos, etc.) ;
939030;Servicios de salones de baile, discotecas y similares;Servicios de salones de baile, discotecas y similares;
939090;Servicios de entretenimiento n.c.p.;Servicios de entretenimiento n.c.p.;
941100;Servicios de organizaciones empresariales y de empleadores;Servicios de organizaciones empresariales y de empleadores ;
941200;Servicios de organizaciones profesionales;Servicios de organizaciones profesionales;
942000;Servicios de sindicatos;Servicios de sindicatos;
949100;Servicios de organizaciones religiosas;Servicios de organizaciones religiosas;
949200;Servicios de organizaciones políticas;Servicios de organizaciones políticas;
949910;Servicios de mutuales, excepto mutuales de salud y financieras;Servicios de mutuales, excepto mutuales de salud y financieras;
949920;Servicios de consorcios de edificios;Servicios de consorcios de edificios;
949930;Servicios de cooperativas cuando realizan varias actividades;Servicios de cooperativas cuando realizan varias actividades;
949990;Servicios de asociaciones n.c.p.;Servicios de asociaciones n.c.p.;
